date_id,year,quarter,month_num,month_name,year_month,week_of_year,day_of_week,day_name,is_weekend,is_month_start,is_month_end
2016-09-04,2016,3,9,September,2016-09,35,7,Sunday,1,0,0
2016-09-05,2016,3,9,September,2016-09,36,1,Monday,0,0,0
2016-09-06,2016,3,9,September,2016-09,36,2,Tuesday,0,0,0
2016-09-07,2016,3,9,September,2016-09,36,3,Wednesday,0,0,0
2016-09-08,2016,3,9,September,2016-09,36,4,Thursday,0,0,0
2016-09-09,2016,3,9,September,2016-09,36,5,Friday,0,0,0
2016-09-10,2016,3,9,September,2016-09,36,6,Saturday,1,0,0
2016-09-11,2016,3,9,September,2016-09,36,7,Sunday,1,0,0
2016-09-12,2016,3,9,September,2016-09,37,1,Monday,0,0,0
2016-09-13,2016,3,9,September,2016-09,37,2,Tuesday,0,0,0
2016-09-14,2016,3,9,September,2016-09,37,3,Wednesday,0,0,0
2016-09-15,2016,3,9,September,2016-09,37,4,Thursday,0,0,0
2016-09-16,2016,3,9,September,2016-09,37,5,Friday,0,0,0
2016-09-17,2016,3,9,September,2016-09,37,6,Saturday,1,0,0
2016-09-18,2016,3,9,September,2016-09,37,7,Sunday,1,0,0
2016-09-19,2016,3,9,September,2016-09,38,1,Monday,0,0,0
2016-09-20,2016,3,9,September,2016-09,38,2,Tuesday,0,0,0
2016-09-21,2016,3,9,September,2016-09,38,3,Wednesday,0,0,0
2016-09-22,2016,3,9,September,2016-09,38,4,Thursday,0,0,0
2016-09-23,2016,3,9,September,2016-09,38,5,Friday,0,0,0
2016-09-24,2016,3,9,September,2016-09,38,6,Saturday,1,0,0
2016-09-25,2016,3,9,September,2016-09,38,7,Sunday,1,0,0
2016-09-26,2016,3,9,September,2016-09,39,1,Monday,0,0,0
2016-09-27,2016,3,9,September,2016-09,39,2,Tuesday,0,0,0
2016-09-28,2016,3,9,September,2016-09,39,3,Wednesday,0,0,0
2016-09-29,2016,3,9,September,2016-09,39,4,Thursday,0,0,0
2016-09-30,2016,3,9,September,2016-09,39,5,Friday,0,0,1
2016-10-01,2016,4,10,October,2016-10,39,6,Saturday,1,1,0
2016-10-02,2016,4,10,October,2016-10,39,7,Sunday,1,0,0
2016-10-03,2016,4,10,October,2016-10,40,1,Monday,0,0,0
2016-10-04,2016,4,10,October,2016-10,40,2,Tuesday,0,0,0
2016-10-05,2016,4,10,October,2016-10,40,3,Wednesday,0,0,0
2016-10-06,2016,4,10,October,2016-10,40,4,Thursday,0,0,0
2016-10-07,2016,4,10,October,2016-10,40,5,Friday,0,0,0
2016-10-08,2016,4,10,October,2016-10,40,6,Saturday,1,0,0
2016-10-09,2016,4,10,October,2016-10,40,7,Sunday,1,0,0
2016-10-10,2016,4,10,October,2016-10,41,1,Monday,0,0,0
2016-10-11,2016,4,10,October,2016-10,41,2,Tuesday,0,0,0
2016-10-12,2016,4,10,October,2016-10,41,3,Wednesday,0,0,0
2016-10-13,2016,4,10,October,2016-10,41,4,Thursday,0,0,0
2016-10-14,2016,4,10,October,2016-10,41,5,Friday,0,0,0
2016-10-15,2016,4,10,October,2016-10,41,6,Saturday,1,0,0
2016-10-16,2016,4,10,October,2016-10,41,7,Sunday,1,0,0
2016-10-17,2016,4,10,October,2016-10,42,1,Monday,0,0,0
2016-10-18,2016,4,10,October,2016-10,42,2,Tuesday,0,0,0
2016-10-19,2016,4,10,October,2016-10,42,3,Wednesday,0,0,0
2016-10-20,2016,4,10,October,2016-10,42,4,Thursday,0,0,0
2016-10-21,2016,4,10,October,2016-10,42,5,Friday,0,0,0
2016-10-22,2016,4,10,October,2016-10,42,6,Saturday,1,0,0
2016-10-23,2016,4,10,October,2016-10,42,7,Sunday,1,0,0
2016-10-24,2016,4,10,October,2016-10,43,1,Monday,0,0,0
2016-10-25,2016,4,10,October,2016-10,43,2,Tuesday,0,0,0
2016-10-26,2016,4,10,October,2016-10,43,3,Wednesday,0,0,0
2016-10-27,2016,4,10,October,2016-10,43,4,Thursday,0,0,0
2016-10-28,2016,4,10,October,2016-10,43,5,Friday,0,0,0
2016-10-29,2016,4,10,October,2016-10,43,6,Saturday,1,0,0
2016-10-30,2016,4,10,October,2016-10,43,7,Sunday,1,0,0
2016-10-31,2016,4,10,October,2016-10,44,1,Monday,0,0,1
2016-11-01,2016,4,11,November,2016-11,44,2,Tuesday,0,1,0
2016-11-02,2016,4,11,November,2016-11,44,3,Wednesday,0,0,0
2016-11-03,2016,4,11,November,2016-11,44,4,Thursday,0,0,0
2016-11-04,2016,4,11,November,2016-11,44,5,Friday,0,0,0
2016-11-05,2016,4,11,November,2016-11,44,6,Saturday,1,0,0
2016-11-06,2016,4,11,November,2016-11,44,7,Sunday,1,0,0
2016-11-07,2016,4,11,November,2016-11,45,1,Monday,0,0,0
2016-11-08,2016,4,11,November,2016-11,45,2,Tuesday,0,0,0
2016-11-09,2016,4,11,November,2016-11,45,3,Wednesday,0,0,0
2016-11-10,2016,4,11,November,2016-11,45,4,Thursday,0,0,0
2016-11-11,2016,4,11,November,2016-11,45,5,Friday,0,0,0
2016-11-12,2016,4,11,November,2016-11,45,6,Saturday,1,0,0
2016-11-13,2016,4,11,November,2016-11,45,7,Sunday,1,0,0
2016-11-14,2016,4,11,November,2016-11,46,1,Monday,0,0,0
2016-11-15,2016,4,11,November,2016-11,46,2,Tuesday,0,0,0
2016-11-16,2016,4,11,November,2016-11,46,3,Wednesday,0,0,0
2016-11-17,2016,4,11,November,2016-11,46,4,Thursday,0,0,0
